"","Country_Code","Rank","Country_Name","GDP_Value"
"166","BTN",167,"Bhutan",1780
"167","LBR",168,"Liberia",1734
"168","BLZ",169,"Belize",1493
"169","TMP",170,"Timor-Leste",1293
"170","LCA",171,"St. Lucia",1239
"171","ATG",172,"Antigua and Barbuda",1134
"172","SYC",173,"Seychelles",1129
"173","SLB",174,"Solomon Islands",1008
"174","GMB",175,"Gambia, The",917
"175","GNB",176,"Guinea-Bissau",822
"176","VUT",177,"Vanuatu",787
"177","GRD",178,"Grenada",767
"178","KNA",178,"St. Kitts and Nevis",767
"179","VCT",180,"St. Vincent and the Grenadines",713
"180","WSM",181,"Samoa",684
"181","COM",182,"Comoros",596
"182","DMA",183,"Dominica",480
"183","TON",184,"Tonga",472
"184","FSM",185,"Micronesia, Fed. Sts.",326
"185","STP",186,"São Tomé and Principe",263
"186","PLW",187,"Palau",228
"187","MHL",188,"Marshall Islands",182
"188","KIR",189,"Kiribati",175
"189","TUV",190,"Tuvalu",40
"190",NA,NA,NA,NA
"191","ASM",NA,"American Samoa",NA
"192","ADO",NA,"Andorra",NA
"193","CYM",NA,"Cayman Islands",NA
"194","CHI",NA,"Channel Islands",NA
"195","CUW",NA,"Curaçao",NA
"196","DJI",NA,"Djibouti",NA
"197","FRO",NA,"Faeroe Islands",NA
"198","PYF",NA,"French Polynesia",NA
"199","GRL",NA,"Greenland",NA
"200","GUM",NA,"Guam",NA
"201","IMY",NA,"Isle of Man",NA
"202","PRK",NA,"Korea, Dem. Rep.",NA
"203","LBY",NA,"Libya",NA
"204","LIE",NA,"Liechtenstein",NA
"205","MMR",NA,"Myanmar",NA
"206","NCL",NA,"New Caledonia",NA
"207","MNP",NA,"Northern Mariana Islands",NA
"208","SMR",NA,"San Marino",NA
"209","SXM",NA,"Sint Maarten (Dutch part)",NA
"210","SOM",NA,"Somalia",NA
"211","MAF",NA,"St. Martin (French part)",NA
"212","TCA",NA,"Turks and Caicos Islands",NA
"213","VIR",NA,"Virgin Islands (U.S.)",NA
"214","WBG",NA,"West Bank and Gaza",NA
"215",NA,NA,NA,NA
"216","WLD",NA,"World",72440449
"217",NA,NA,NA,NA
"218","LIC",NA,"Low income",504431
"219","MIC",NA,"Middle income",22249909
"220","LMC",NA,"Lower middle income",4823811
"221","UMC",NA,"Upper middle income",17426690
"222","LMY",NA,"Low & middle income",22769282
"223","EAP",NA,"East Asia & Pacific",10329684
"224","ECA",NA,"Europe & Central Asia",1887950
"225","LAC",NA,"Latin America & Caribbean",5344028
"226","MNA",NA,"Middle East & North Africa",1540807
"227","SAS",NA,"South Asia",2286093
"228","SSA",NA,"Sub-Saharan Africa",1289813
"229","HIC",NA,"High income",49717634
"230","EMU",NA,"Euro area",12192344
"231",NA,NA,NA,NA
"232",NA,NA,NA,NA
"233",NA,NA,NA,NA
"234",NA,NA,NA,NA
"235",NA,NA,NA,NA
"236",NA,NA,NA,NA
"237",NA,NA,NA,NA
"238",NA,NA,NA,NA
"239",NA,NA,NA,NA
"240",NA,NA,NA,NA
"241",NA,NA,NA,NA
"242",NA,NA,NA,NA
"243",NA,NA,NA,NA
"244",NA,NA,NA,NA
"245",NA,NA,NA,NA
"246",NA,NA,NA,NA
"247",NA,NA,NA,NA
"248",NA,NA,NA,NA
"249",NA,NA,NA,NA
"250",NA,NA,NA,NA
"251",NA,NA,NA,NA
"252",NA,NA,NA,NA
"253",NA,NA,NA,NA
"254",NA,NA,NA,NA
"255",NA,NA,NA,NA
"256",NA,NA,NA,NA
"257",NA,NA,NA,NA
"258",NA,NA,NA,NA
"259",NA,NA,NA,NA
"260",NA,NA,NA,NA
"261",NA,NA,NA,NA
"262",NA,NA,NA,NA
"263",NA,NA,NA,NA
"264",NA,NA,NA,NA
"265",NA,NA,NA,NA
"266",NA,NA,NA,NA
"267",NA,NA,NA,NA
"268",NA,NA,NA,NA
"269",NA,NA,NA,NA
"270",NA,NA,NA,NA
"271",NA,NA,NA,NA
"272",NA,NA,NA,NA
"273",NA,NA,NA,NA
"274",NA,NA,NA,NA
"275",NA,NA,NA,NA
"276",NA,NA,NA,NA
"277",NA,NA,NA,NA
"278",NA,NA,NA,NA
"279",NA,NA,NA,NA
"280",NA,NA,NA,NA
"281",NA,NA,NA,NA
"282",NA,NA,NA,NA
"283",NA,NA,NA,NA
"284",NA,NA,NA,NA
"285",NA,NA,NA,NA
"286",NA,NA,NA,NA
"287",NA,NA,NA,NA
"288",NA,NA,NA,NA
"289",NA,NA,NA,NA
"290",NA,NA,NA,NA
"291",NA,NA,NA,NA
"292",NA,NA,NA,NA
"293",NA,NA,NA,NA
"294",NA,NA,NA,NA
"295",NA,NA,NA,NA
"296",NA,NA,NA,NA
"297",NA,NA,NA,NA
"298",NA,NA,NA,NA
"299",NA,NA,NA,NA
"300",NA,NA,NA,NA
"301",NA,NA,NA,NA
"302",NA,NA,NA,NA
"303",NA,NA,NA,NA
"304",NA,NA,NA,NA
"305",NA,NA,NA,NA
"306",NA,NA,NA,NA
"307",NA,NA,NA,NA
"308",NA,NA,NA,NA
"309",NA,NA,NA,NA
"310",NA,NA,NA,NA
"311",NA,NA,NA,NA
"312",NA,NA,NA,NA
"313",NA,NA,NA,NA
"314",NA,NA,NA,NA
"315",NA,NA,NA,NA
"316",NA,NA,NA,NA
"317",NA,NA,NA,NA
"318",NA,NA,NA,NA
"319",NA,NA,NA,NA
"320",NA,NA,NA,NA
"321",NA,NA,NA,NA
"322",NA,NA,NA,NA
"323",NA,NA,NA,NA
"324",NA,NA,NA,NA
"325",NA,NA,NA,NA
